locus_tag	op?
EQU24_RS13165	True
EQU24_RS17345	False
EQU24_RS14995	False
EQU24_RS08610	True
EQU24_RS21945	False
EQU24_RS16425	True
EQU24_RS02955	True
EQU24_RS07545	False
EQU24_RS21905	True
EQU24_RS18345	True
EQU24_RS02245	True
EQU24_RS13845	False
EQU24_RS10900	True
EQU24_RS19045	False
EQU24_RS10675	True
EQU24_RS19680	True
EQU24_RS01485	False
EQU24_RS21935	False
EQU24_RS11435	False
EQU24_RS14760	False
EQU24_RS16200	False
EQU24_RS11225	False
EQU24_RS18200	False
EQU24_RS10720	True
EQU24_RS03145	True
EQU24_RS05995	True
EQU24_RS20695	False
EQU24_RS01420	False
EQU24_RS07405	True
EQU24_RS08605	True
EQU24_RS10125	False
EQU24_RS02205	False
EQU24_RS12275	False
EQU24_RS12295	False
EQU24_RS01470	True
EQU24_RS03105	True
EQU24_RS14015	False
EQU24_RS04855	False
EQU24_RS20830	False
EQU24_RS01520	False
EQU24_RS18185	False
EQU24_RS11880	True
EQU24_RS01295	True
EQU24_RS12415	True
EQU24_RS06780	True
EQU24_RS05395	False
EQU24_RS16675	True
EQU24_RS13055	False
EQU24_RS18950	False
EQU24_RS10660	True
EQU24_RS12550	True
EQU24_RS16005	True
EQU24_RS02410	True
EQU24_RS17795	True
EQU24_RS03265	True
EQU24_RS20215	False
EQU24_RS13140	True
EQU24_RS01750	True
EQU24_RS03070	True
EQU24_RS00715	False
EQU24_RS00815	True
EQU24_RS08260	True
EQU24_RS20020	True
EQU24_RS00575	True
EQU24_RS06445	True
EQU24_RS05230	True
EQU24_RS21310	False
EQU24_RS08995	True
EQU24_RS15050	False
EQU24_RS12115	False
EQU24_RS21530	True
EQU24_RS16210	True
EQU24_RS04420	True
EQU24_RS16560	True
EQU24_RS18585	False
EQU24_RS16765	False
EQU24_RS15185	False
EQU24_RS09895	False
EQU24_RS15465	False
EQU24_RS10460	False
EQU24_RS02320	True
EQU24_RS00890	True
EQU24_RS06550	True
EQU24_RS08065	False
EQU24_RS18735	True
EQU24_RS14180	False
EQU24_RS06810	True
EQU24_RS09095	False
EQU24_RS03870	True
EQU24_RS04030	True
EQU24_RS10335	False
EQU24_RS20160	True
EQU24_RS00920	True
EQU24_RS02625	False
EQU24_RS11235	False
EQU24_RS06675	True
EQU24_RS16780	True
EQU24_RS19750	True
EQU24_RS02660	True
EQU24_RS09370	True
EQU24_RS04215	False
EQU24_RS17400	True
EQU24_RS11425	True
EQU24_RS04965	False
EQU24_RS14150	True
EQU24_RS07580	True
EQU24_RS18365	True
EQU24_RS14800	True
EQU24_RS17030	True
EQU24_RS04780	True
EQU24_RS02130	True
EQU24_RS08525	False
EQU24_RS00285	True
EQU24_RS10940	True
EQU24_RS17055	True
EQU24_RS07655	True
EQU24_RS05770	False
EQU24_RS01200	True
EQU24_RS20980	False
EQU24_RS15115	True
EQU24_RS13570	True
EQU24_RS07795	True
EQU24_RS04145	False
EQU24_RS16415	False
EQU24_RS05525	False
EQU24_RS03115	False
EQU24_RS03515	True
EQU24_RS21325	False
EQU24_RS12995	False
EQU24_RS13090	False
EQU24_RS00460	True
EQU24_RS13875	False
EQU24_RS02335	True
EQU24_RS14280	True
EQU24_RS05695	False
EQU24_RS17310	True
EQU24_RS05025	True
EQU24_RS11120	True
EQU24_RS17590	True
EQU24_RS03095	True
EQU24_RS19440	False
EQU24_RS14575	False
EQU24_RS07925	False
EQU24_RS20130	True
EQU24_RS14340	True
EQU24_RS16980	True
EQU24_RS21305	False
EQU24_RS20075	True
EQU24_RS14310	True
EQU24_RS08470	True
EQU24_RS22100	True
EQU24_RS21060	True
EQU24_RS12835	False
EQU24_RS07640	False
EQU24_RS07620	False
EQU24_RS13565	False
EQU24_RS13860	False
EQU24_RS07170	False
EQU24_RS00965	True
EQU24_RS06925	True
EQU24_RS21665	False
EQU24_RS18330	True
EQU24_RS15030	True
EQU24_RS12425	False
EQU24_RS08185	False
EQU24_RS19415	True
EQU24_RS19135	False
EQU24_RS05615	False
EQU24_RS15455	False
EQU24_RS01660	True
EQU24_RS07780	True
EQU24_RS02090	False
EQU24_RS15640	True
EQU24_RS18290	False
EQU24_RS01390	False
EQU24_RS17045	False
EQU24_RS02220	True
EQU24_RS18490	True
EQU24_RS02975	False
EQU24_RS02225	True
EQU24_RS20945	True
EQU24_RS14850	False
EQU24_RS09350	True
EQU24_RS19710	True
EQU24_RS11625	True
EQU24_RS19270	True
EQU24_RS10275	False
EQU24_RS08210	True
EQU24_RS12895	True
EQU24_RS08115	True
EQU24_RS08040	False
EQU24_RS16150	True
EQU24_RS00625	False
EQU24_RS10585	True
EQU24_RS09020	True
EQU24_RS01050	True
EQU24_RS05115	True
EQU24_RS03185	True
EQU24_RS16860	False
EQU24_RS02295	True
EQU24_RS08235	False
EQU24_RS02710	False
EQU24_RS19330	False
EQU24_RS12100	False
EQU24_RS17040	False
EQU24_RS20380	True
EQU24_RS12670	False
EQU24_RS09440	True
EQU24_RS01765	False
EQU24_RS05870	False
EQU24_RS21605	False
EQU24_RS20350	True
EQU24_RS00175	False
EQU24_RS04520	False
EQU24_RS14485	False
EQU24_RS08990	True
EQU24_RS08340	True
EQU24_RS21470	True
EQU24_RS03340	True
EQU24_RS01540	False
EQU24_RS07015	False
EQU24_RS02630	False
EQU24_RS03930	True
EQU24_RS21320	False
EQU24_RS08845	True
EQU24_RS06210	False
EQU24_RS10140	False
EQU24_RS15395	False
EQU24_RS16160	False
EQU24_RS16745	True
EQU24_RS02855	False
EQU24_RS13110	False
EQU24_RS02565	False
EQU24_RS20225	False
EQU24_RS09425	True
EQU24_RS20725	False
EQU24_RS04360	False
EQU24_RS07370	False
EQU24_RS07665	True
EQU24_RS15225	False
EQU24_RS09335	False
EQU24_RS15365	True
EQU24_RS16515	True
EQU24_RS19730	True
EQU24_RS21775	False
EQU24_RS05945	True
EQU24_RS02905	False
EQU24_RS05205	True
EQU24_RS13545	False
EQU24_RS05785	False
EQU24_RS16055	False
EQU24_RS09680	True
EQU24_RS02935	False
EQU24_RS02135	True
EQU24_RS13945	False
EQU24_RS10620	True
EQU24_RS11790	True
EQU24_RS10255	False
EQU24_RS03250	True
EQU24_RS00010	False
EQU24_RS03060	False
EQU24_RS16165	False
EQU24_RS01225	True
EQU24_RS14935	True
EQU24_RS04365	True
EQU24_RS08375	True
EQU24_RS00190	True
EQU24_RS07845	False
EQU24_RS13425	False
EQU24_RS12350	True
EQU24_RS14650	False
EQU24_RS01610	True
EQU24_RS04350	False
EQU24_RS08005	False
EQU24_RS00805	True
EQU24_RS05625	False
EQU24_RS17935	True
EQU24_RS21895	True
EQU24_RS20630	True
EQU24_RS20040	False
EQU24_RS12240	False
EQU24_RS20590	False
EQU24_RS15290	True
EQU24_RS05260	False
EQU24_RS05555	True
EQU24_RS14450	True
EQU24_RS08205	True
EQU24_RS04690	False
EQU24_RS01605	False
EQU24_RS22060	True
EQU24_RS17195	False
EQU24_RS16025	True
EQU24_RS18040	True
EQU24_RS03800	True
EQU24_RS14840	True
EQU24_RS06765	False
EQU24_RS01890	False
EQU24_RS12130	True
EQU24_RS14635	False
EQU24_RS12700	True
EQU24_RS15815	True
EQU24_RS10215	True
EQU24_RS15260	False
EQU24_RS06060	True
EQU24_RS06510	True
EQU24_RS07215	False
EQU24_RS16890	True
EQU24_RS20525	False
EQU24_RS00725	False
EQU24_RS12385	True
EQU24_RS19130	False
EQU24_RS14970	False
EQU24_RS11300	False
EQU24_RS16805	True
EQU24_RS17705	True
EQU24_RS14385	True
EQU24_RS11170	False
EQU24_RS04765	True
EQU24_RS02585	False
EQU24_RS14245	True
EQU24_RS19355	False
EQU24_RS15685	False
EQU24_RS02010	True
EQU24_RS04445	True
EQU24_RS16295	False
EQU24_RS03390	True
EQU24_RS02370	False
EQU24_RS11685	False
EQU24_RS18225	False
EQU24_RS12940	True
EQU24_RS18285	False
EQU24_RS03210	True
EQU24_RS20540	True
EQU24_RS21420	True
EQU24_RS22145	True
EQU24_RS06585	True
EQU24_RS11920	True
EQU24_RS15945	True
EQU24_RS01240	True
EQU24_RS10980	True
EQU24_RS20600	False
EQU24_RS11660	False
EQU24_RS12785	False
EQU24_RS14915	True
EQU24_RS02065	False
EQU24_RS18015	False
EQU24_RS11695	True
EQU24_RS12725	True
EQU24_RS07675	False
EQU24_RS13455	True
EQU24_RS11590	True
EQU24_RS05320	False
EQU24_RS10800	False
EQU24_RS05900	True
EQU24_RS13325	True
EQU24_RS15420	False
EQU24_RS15910	True
EQU24_RS08920	False
EQU24_RS01095	False
EQU24_RS02780	True
EQU24_RS13635	False
EQU24_RS08485	True
EQU24_RS05520	False
EQU24_RS08630	False
EQU24_RS06465	True
EQU24_RS11630	False
EQU24_RS05325	False
EQU24_RS15740	False
EQU24_RS18605	False
EQU24_RS01915	False
EQU24_RS05680	True
EQU24_RS04845	False
EQU24_RS08435	False
EQU24_RS12495	True
EQU24_RS07520	True
EQU24_RS02580	True
EQU24_RS20730	False
EQU24_RS16960	False
EQU24_RS08740	True
EQU24_RS10010	False
EQU24_RS01955	True
EQU24_RS12380	True
EQU24_RS05085	True
EQU24_RS17160	True
EQU24_RS07110	True
EQU24_RS01885	False
EQU24_RS01515	True
EQU24_RS04875	True
EQU24_RS00410	True
EQU24_RS16610	True
EQU24_RS20145	False
EQU24_RS22065	True
EQU24_RS12150	False
EQU24_RS12045	True
EQU24_RS01690	False
EQU24_RS02195	False
EQU24_RS18030	False
EQU24_RS17035	False
EQU24_RS09455	False
EQU24_RS19070	False
EQU24_RS12610	False
EQU24_RS16220	False
EQU24_RS09730	False
EQU24_RS01975	False
EQU24_RS07905	False
EQU24_RS06915	False
EQU24_RS10815	False
EQU24_RS10365	False
EQU24_RS17250	False
EQU24_RS11335	False
EQU24_RS19255	True
EQU24_RS09235	False
EQU24_RS07140	False
EQU24_RS16595	True
EQU24_RS04200	False
EQU24_RS13630	False
EQU24_RS13085	False
EQU24_RS02160	True
EQU24_RS17115	True
EQU24_RS10015	False
EQU24_RS03045	False
EQU24_RS20840	True
EQU24_RS14980	True
EQU24_RS05700	False
EQU24_RS16690	True
EQU24_RS01615	True
EQU24_RS11815	True
EQU24_RS21780	True
EQU24_RS09340	True
EQU24_RS17575	True
EQU24_RS00140	True
EQU24_RS01190	True
EQU24_RS19920	False
EQU24_RS13690	False
EQU24_RS08645	False
EQU24_RS13800	False
EQU24_RS07835	False
EQU24_RS19670	True
EQU24_RS03220	False
EQU24_RS02700	False
EQU24_RS19430	False
EQU24_RS09230	True
EQU24_RS07045	True
EQU24_RS13395	True
EQU24_RS03360	True
EQU24_RS17910	False
EQU24_RS10610	True
EQU24_RS12095	False
EQU24_RS10475	True
EQU24_RS14755	False
EQU24_RS17650	False
EQU24_RS07040	False
EQU24_RS06755	False
EQU24_RS18415	True
EQU24_RS05905	False
EQU24_RS05410	False
EQU24_RS18655	True
EQU24_RS16075	True
EQU24_RS09650	False
EQU24_RS11850	True
EQU24_RS17830	False
EQU24_RS21840	False
EQU24_RS07435	True
EQU24_RS08120	True
EQU24_RS02945	True
EQU24_RS01820	False
EQU24_RS13640	False
EQU24_RS20865	True
EQU24_RS15665	False
EQU24_RS19390	False
EQU24_RS00045	True
EQU24_RS01135	True
EQU24_RS06250	True
EQU24_RS03270	False
EQU24_RS05740	True
EQU24_RS16115	True
EQU24_RS01500	False
EQU24_RS08715	True
EQU24_RS15300	True
EQU24_RS01680	False
EQU24_RS14140	False
EQU24_RS18440	False
EQU24_RS00250	False
EQU24_RS09845	False
EQU24_RS19275	False
EQU24_RS20365	True
EQU24_RS00025	False
EQU24_RS07895	False
EQU24_RS11380	False
EQU24_RS10105	True
EQU24_RS06335	True
EQU24_RS03920	True
EQU24_RS08735	False
EQU24_RS06715	False
EQU24_RS09260	False
EQU24_RS18835	False
EQU24_RS06170	False
EQU24_RS19525	False
EQU24_RS02535	False
EQU24_RS03195	True
EQU24_RS22020	True
EQU24_RS03290	True
EQU24_RS16480	True
EQU24_RS07055	False
EQU24_RS08710	False
EQU24_RS17415	False
EQU24_RS01705	True
EQU24_RS12545	False
EQU24_RS20885	True
EQU24_RS18215	True
EQU24_RS22025	False
EQU24_RS15540	False
EQU24_RS21285	False
EQU24_RS13835	False
EQU24_RS11560	False
EQU24_RS21085	True
EQU24_RS09045	False
EQU24_RS00960	True
EQU24_RS20740	False
EQU24_RS21250	True
EQU24_RS21860	False
EQU24_RS18105	False
EQU24_RS17150	True
EQU24_RS18880	False
EQU24_RS21660	False
EQU24_RS03085	False
EQU24_RS03275	False
EQU24_RS09550	False
EQU24_RS16695	False
EQU24_RS13685	False
EQU24_RS03710	False
EQU24_RS06235	True
EQU24_RS21525	False
EQU24_RS06355	False
EQU24_RS11305	True
EQU24_RS04015	True
EQU24_RS13280	False
EQU24_RS04225	True
EQU24_RS06110	False
EQU24_RS04125	False
EQU24_RS09285	False
EQU24_RS21370	True
EQU24_RS03860	True
EQU24_RS20575	False
EQU24_RS07480	False
EQU24_RS01650	True
EQU24_RS18155	False
EQU24_RS01080	True
EQU24_RS09835	True
EQU24_RS02450	False
EQU24_RS04415	False
EQU24_RS16275	False
EQU24_RS18190	False
EQU24_RS20930	False
EQU24_RS07715	False
EQU24_RS00760	True
EQU24_RS10250	False
EQU24_RS18715	False
EQU24_RS08455	True
EQU24_RS19090	False
EQU24_RS15240	True
EQU24_RS04990	False
EQU24_RS11550	True
EQU24_RS13850	True
EQU24_RS00810	True
EQU24_RS03815	True
EQU24_RS01125	False
EQU24_RS18520	True
EQU24_RS09765	True
EQU24_RS21245	True
EQU24_RS02670	False
EQU24_RS03625	False
EQU24_RS06750	True
EQU24_RS03190	False
EQU24_RS17715	True
EQU24_RS20340	True
EQU24_RS10875	True
EQU24_RS08790	False
EQU24_RS18890	True
EQU24_RS05735	False
EQU24_RS09610	True
EQU24_RS12140	False
EQU24_RS01455	False
EQU24_RS06825	False
EQU24_RS15005	True
EQU24_RS09065	False
EQU24_RS06470	True
EQU24_RS05650	False
EQU24_RS15470	True
EQU24_RS04740	False
EQU24_RS08725	False
EQU24_RS17615	True
EQU24_RS08200	True
EQU24_RS19915	False
EQU24_RS04155	True
EQU24_RS01475	False
EQU24_RS07020	True
EQU24_RS21460	True
EQU24_RS00950	True
EQU24_RS06760	False
EQU24_RS20440	True
EQU24_RS14170	False
EQU24_RS10185	False
EQU24_RS17860	True
EQU24_RS06965	True
EQU24_RS10645	True
EQU24_RS03700	False
EQU24_RS15940	True
EQU24_RS07870	False
EQU24_RS14645	False
EQU24_RS21455	True
EQU24_RS21755	False
EQU24_RS10730	True
EQU24_RS11070	False
EQU24_RS21335	True
EQU24_RS17010	False
EQU24_RS20970	False
EQU24_RS06095	False
EQU24_RS19140	False
EQU24_RS09430	False
EQU24_RS12925	False
EQU24_RS21405	False
EQU24_RS03845	True
EQU24_RS02100	True
EQU24_RS09025	True
EQU24_RS02325	False
EQU24_RS17430	True
EQU24_RS03865	True
EQU24_RS05280	False
EQU24_RS18085	False
EQU24_RS13990	True
EQU24_RS11080	True
EQU24_RS15690	True
EQU24_RS07975	False
EQU24_RS10280	False
EQU24_RS00370	False
EQU24_RS16775	False
EQU24_RS09475	False
EQU24_RS09090	True
EQU24_RS17235	True
EQU24_RS05725	False
EQU24_RS14570	True
EQU24_RS16950	False
EQU24_RS05010	False
EQU24_RS10680	True
EQU24_RS05585	False
EQU24_RS14830	False
EQU24_RS06400	False
EQU24_RS00170	True
EQU24_RS14975	False
EQU24_RS19380	True
EQU24_RS05775	True
EQU24_RS12690	False
EQU24_RS11135	True
EQU24_RS13725	False
EQU24_RS18850	True
EQU24_RS18165	True
EQU24_RS03165	True
EQU24_RS08900	True
EQU24_RS03380	True
EQU24_RS00375	True
EQU24_RS14810	True
EQU24_RS06795	True
EQU24_RS17220	True
EQU24_RS16975	True
EQU24_RS08830	False
EQU24_RS16790	False
EQU24_RS03310	False
EQU24_RS18160	False
EQU24_RS04095	False
EQU24_RS07710	True
EQU24_RS00295	False
EQU24_RS15555	True
EQU24_RS10525	True
EQU24_RS02575	True
EQU24_RS10330	False
EQU24_RS20060	True
EQU24_RS03090	False
EQU24_RS16440	True
EQU24_RS00670	False
EQU24_RS08450	False
EQU24_RS11585	True
EQU24_RS08665	False
EQU24_RS15350	False
EQU24_RS14295	False
EQU24_RS20775	False
EQU24_RS22105	True
EQU24_RS19565	True
EQU24_RS13390	True
EQU24_RS01745	True
EQU24_RS03795	True
EQU24_RS21900	False
EQU24_RS13100	False
EQU24_RS12855	True
EQU24_RS12935	True
EQU24_RS04115	False
EQU24_RS12075	False
EQU24_RS18840	False
EQU24_RS06100	False
EQU24_RS08095	False
EQU24_RS16800	True
EQU24_RS18955	False
EQU24_RS12615	False
EQU24_RS09210	False
EQU24_RS00315	False
EQU24_RS10760	True
EQU24_RS03755	False
EQU24_RS07365	True
EQU24_RS14275	False
EQU24_RS01760	False
EQU24_RS05245	True
EQU24_RS13195	False
EQU24_RS03910	True
EQU24_RS11575	False
EQU24_RS17360	False
EQU24_RS12800	True
EQU24_RS01925	False
EQU24_RS05090	False
EQU24_RS14610	False
EQU24_RS05920	False
EQU24_RS01005	False
EQU24_RS10755	False
EQU24_RS07030	False
EQU24_RS17740	True
EQU24_RS09080	True
EQU24_RS14770	True
EQU24_RS10825	True
EQU24_RS19675	False
EQU24_RS16375	False
EQU24_RS16835	True
EQU24_RS19450	False
EQU24_RS10115	False
EQU24_RS00955	False
EQU24_RS11375	False
EQU24_RS16940	True
EQU24_RS10650	False
EQU24_RS17950	True
EQU24_RS15645	False
EQU24_RS06945	True
EQU24_RS20250	True
EQU24_RS21200	False
EQU24_RS17980	True
EQU24_RS03785	False
EQU24_RS04195	True
EQU24_RS03215	True
EQU24_RS19010	True
EQU24_RS20545	True
EQU24_RS17380	True
EQU24_RS08985	False
EQU24_RS11215	True
EQU24_RS00455	False
EQU24_RS20900	False
EQU24_RS20155	False
EQU24_RS13960	False
EQU24_RS19930	False
EQU24_RS14000	False
EQU24_RS21330	True
EQU24_RS05190	False
EQU24_RS01775	False
EQU24_RS16455	True
EQU24_RS10430	True
EQU24_RS13830	False
EQU24_RS13490	False
EQU24_RS08135	True
EQU24_RS22080	True
EQU24_RS00745	True
EQU24_RS20420	True
EQU24_RS15175	True
EQU24_RS08865	False
EQU24_RS13815	True
EQU24_RS07260	True
EQU24_RS17840	False
EQU24_RS04710	False
EQU24_RS03830	False
EQU24_RS04930	True
EQU24_RS00705	False
EQU24_RS09360	False
EQU24_RS17500	False
EQU24_RS14035	True
EQU24_RS20050	False
EQU24_RS15765	True
EQU24_RS16290	True
EQU24_RS08555	False
EQU24_RS17940	True
EQU24_RS21010	False
EQU24_RS14885	True
EQU24_RS16330	True
EQU24_RS13480	False
EQU24_RS06975	True
EQU24_RS07635	False
EQU24_RS15905	False
EQU24_RS02850	True
EQU24_RS18305	True
EQU24_RS21380	False
EQU24_RS13780	True
EQU24_RS20035	False
EQU24_RS19900	False
EQU24_RS07035	True
EQU24_RS06575	False
EQU24_RS09670	False
EQU24_RS03450	False
EQU24_RS07505	True
EQU24_RS08685	True
EQU24_RS06125	True
EQU24_RS15650	False
EQU24_RS13375	False
EQU24_RS04010	False
EQU24_RS05635	True
EQU24_RS18505	True
EQU24_RS20455	False
EQU24_RS21810	True
EQU24_RS16120	False
EQU24_RS19985	True
EQU24_RS09545	False
EQU24_RS00820	True
EQU24_RS01630	False
EQU24_RS18670	False
EQU24_RS15760	False
EQU24_RS21120	True
EQU24_RS00940	False
EQU24_RS01735	True
EQU24_RS20870	False
EQU24_RS16235	False
EQU24_RS07575	True
EQU24_RS04065	True
EQU24_RS13520	False
EQU24_RS09315	False
EQU24_RS21395	False
EQU24_RS14960	False
EQU24_RS22070	True
EQU24_RS10030	True
EQU24_RS18555	False
EQU24_RS17180	False
EQU24_RS17880	False
EQU24_RS20690	False
EQU24_RS03835	True
EQU24_RS03760	True
EQU24_RS19000	False
EQU24_RS04245	False
EQU24_RS20320	False
EQU24_RS08025	True
EQU24_RS04280	False
EQU24_RS20065	True
EQU24_RS13040	False
EQU24_RS21255	False
EQU24_RS02315	True
EQU24_RS12260	True
EQU24_RS12060	True
EQU24_RS09595	True
EQU24_RS01075	False
EQU24_RS07525	False
EQU24_RS01795	False
EQU24_RS14560	False
EQU24_RS06530	False
EQU24_RS15920	True
EQU24_RS10350	True
EQU24_RS18780	True
EQU24_RS02540	True
EQU24_RS14040	True
EQU24_RS07220	True
EQU24_RS07420	True
EQU24_RS15970	False
EQU24_RS22135	True
EQU24_RS14530	False
EQU24_RS11600	False
EQU24_RS10725	True
EQU24_RS05290	True
EQU24_RS11125	False
EQU24_RS16320	True
EQU24_RS20675	True
EQU24_RS14155	True
EQU24_RS18450	True
EQU24_RS06325	False
EQU24_RS13005	False
EQU24_RS03420	False
EQU24_RS21670	False
EQU24_RS02005	True
EQU24_RS14795	False
EQU24_RS05720	False
EQU24_RS17585	True
EQU24_RS02150	False
EQU24_RS02180	True
EQU24_RS15900	True
EQU24_RS08055	True
EQU24_RS12870	True
EQU24_RS11555	False
EQU24_RS19185	False
EQU24_RS10025	False
EQU24_RS14005	False
EQU24_RS02125	False
EQU24_RS14145	True
EQU24_RS20990	False
EQU24_RS11995	False
EQU24_RS08440	True
EQU24_RS10100	True
EQU24_RS21760	False
EQU24_RS11060	False
EQU24_RS11820	False
EQU24_RS03395	False
EQU24_RS09735	False
EQU24_RS01170	True
EQU24_RS07340	False
EQU24_RS19590	False
EQU24_RS06710	False
EQU24_RS08395	True
EQU24_RS09270	True
EQU24_RS15025	False
EQU24_RS01950	True
EQU24_RS04175	False
EQU24_RS11970	False
EQU24_RS03640	False
EQU24_RS07685	True
EQU24_RS11800	True
EQU24_RS12180	False
EQU24_RS18680	True
EQU24_RS10640	True
EQU24_RS11385	False
EQU24_RS17690	False
EQU24_RS10965	True
EQU24_RS07125	False
EQU24_RS14825	True
EQU24_RS01645	False
EQU24_RS14680	False
EQU24_RS18510	True
EQU24_RS12980	True
EQU24_RS17600	False
EQU24_RS09030	True
EQU24_RS00280	True
EQU24_RS18100	True
EQU24_RS12405	True
EQU24_RS18280	False
EQU24_RS03775	True
EQU24_RS11140	True
EQU24_RS05200	True
EQU24_RS14110	True
EQU24_RS07535	True
EQU24_RS14835	False
EQU24_RS05640	True
EQU24_RS00420	True
EQU24_RS21865	True
EQU24_RS06570	False
EQU24_RS20200	True
EQU24_RS14665	True
EQU24_RS18395	False
EQU24_RS06640	True
EQU24_RS05780	False
EQU24_RS13560	False
EQU24_RS18400	True
EQU24_RS04285	False
EQU24_RS02690	True
EQU24_RS13750	True
EQU24_RS01845	True
EQU24_RS17125	False
EQU24_RS01035	True
EQU24_RS13915	True
EQU24_RS20985	False
EQU24_RS05895	True
EQU24_RS15390	False
EQU24_RS15460	False
EQU24_RS01695	False
EQU24_RS00995	False
EQU24_RS21235	False
EQU24_RS03680	True
EQU24_RS07820	False
EQU24_RS05850	False
EQU24_RS20655	True
EQU24_RS07430	False
EQU24_RS20565	False
EQU24_RS18960	False
EQU24_RS00135	True
EQU24_RS21930	False
EQU24_RS08700	False
EQU24_RS02020	False
EQU24_RS19385	True
EQU24_RS15095	True
EQU24_RS05210	False
EQU24_RS18640	False
EQU24_RS20030	False
EQU24_RS12755	False
EQU24_RS01525	False
EQU24_RS03465	False
EQU24_RS21175	False
EQU24_RS03705	False
EQU24_RS05690	False
EQU24_RS04570	False
EQU24_RS11735	False
EQU24_RS16155	True
EQU24_RS11765	False
EQU24_RS04425	True
EQU24_RS17335	True
EQU24_RS21210	False
EQU24_RS20825	False
EQU24_RS15270	True
EQU24_RS14950	False
EQU24_RS00480	False
EQU24_RS11255	True
EQU24_RS19650	True
EQU24_RS13450	True
EQU24_RS09615	False
EQU24_RS19120	True
EQU24_RS12410	True
EQU24_RS00645	False
EQU24_RS01495	False
EQU24_RS13350	True
EQU24_RS14510	False
EQU24_RS17490	True
EQU24_RS05815	True
EQU24_RS07345	False
EQU24_RS04805	True
EQU24_RS19830	False
EQU24_RS18915	True
EQU24_RS15160	True
EQU24_RS08730	False
EQU24_RS00710	True
EQU24_RS14550	False
EQU24_RS04040	False
EQU24_RS14425	True
EQU24_RS11355	False
EQU24_RS11910	False
EQU24_RS11565	True
EQU24_RS15090	True
EQU24_RS02640	False
EQU24_RS09750	False
EQU24_RS17505	False
EQU24_RS01180	False
EQU24_RS16245	False
EQU24_RS05415	False
EQU24_RS18975	True
EQU24_RS17315	True
EQU24_RS04940	False
EQU24_RS19510	False
EQU24_RS10295	True
EQU24_RS20670	True
EQU24_RS13930	False
EQU24_RS15100	False
EQU24_RS18660	False
EQU24_RS15930	True
EQU24_RS21685	True
